feature,importance,absolute_importance,kind
roi_p99_5,-2.085006762061792,2.085006762061792,standardized_coefficient
roi_max,1.442759510830153,1.442759510830153,standardized_coefficient
right_p95,1.0369327316913222,1.0369327316913222,standardized_coefficient
left_bounding_box_extent_z_mm,0.9024639631144726,0.9024639631144726,standardized_coefficient
roi_p95,0.7846683923950701,0.7846683923950701,standardized_coefficient
right_principal_axis_length_1_mm,0.7365124425181994,0.7365124425181994,standardized_coefficient
high_uptake_volume_mm3_rel_0_60,-0.6889724906107119,0.6889724906107119,standardized_coefficient
roi_positive_fraction,-0.683902781796283,0.683902781796283,standardized_coefficient
left_p50,0.6759893354657559,0.6759893354657559,standardized_coefficient
background_uptake,0.6643431507462129,0.6643431507462129,standardized_coefficient
right_lambda3_over_lambda1,0.6561372800742125,0.6561372800742125,standardized_coefficient
left_mean,-0.6291226387462119,0.6291226387462119,standardized_coefficient
